employee guid,first name,last name,gender,email,age,birthday,active,street,postal,province,city,longitude,latitude,package,vendor,phone,package cost,contract start,contract end
54c40e15-4188-574b-8206-dbe4d2e64037,Ola,King,Male,lokli@witcapne.eu,31,8/8/1983,FALSE,Felje Circle,B2F 1O5,PE,Naepobip,-52.70511,-79.95632,pack15,Vodacom,(342) 641-5991,$9136.34,10/09/2039,11/22/2017
9159cd2c-ceb5-5eb3-a3a1-15e71f2013c0,Lily,Jackson,Female,mehavog@kolan.su,38,3/12/1976,TRUE,Kici Key,S2K 3P6,AB,Locbaca,-120.22871,56.39492,pack16,MTN,(719) 575-8811,$8417.15,08/22/2020,07/10/2014
4ac85cc3-3020-53cb-9672-6272a10cde0f,Jesus,Martin,Male,wafwot@go.pm,45,9/3/1954,FALSE,Odoli Street,H0N 2P5,YT,Azfosul,62.26897,0.48848,pack17,Cell C,(535) 696-1497,$7175.04,10/21/2021,10/26/1999
94ac50d6-3205-520f-aae9-edd307b06aea,Ida,Manning,Male,mimoltow@tafmo.wf,22,7/14/1975,FALSE,Ruga Turnpike,N5W 3X9,YT,Hohlopet,-141.02904,-33.16096,pack18,Vodacom,(873) 527-9332,$9020.33,06/14/2047,10/16/1972
42ae3ec7-49ce-5f99-88bf-491c9869b475,Abbie,Foster,Male,mirop@ji.cw,27,6/7/1980,TRUE,Fehit Plaza,S3Y 9K7,QC,Sosiep,-177.75702,-23.44368,pack19,MTN,(959) 991-3392,$3745.30,02/17/1959,09/15/2046
431f25af-5d15-52ce-8f7c-f506b119f3a1,Scott,Hall,Female,wupbu@uzamu.vi,58,1/29/1959,FALSE,Dusha River,B9Z 9V5,ON,Risrizmeb,-34.29859,-19.54894,pack20,Cell C,(655) 669-8041,$1755.66,09/01/1988,05/01/2021
ec1a2864-2d2c-57a9-812a-66ea4041eb9d,Marc,Stevens,Female,haj@fisu.bb,54,10/19/1976,TRUE,Upafo Mill,M6T 3O7,NL,Jeijuuw,-99.40828,21.70335,pack21,Vodacom,(507) 374-7314,$2285.41,12/26/1931,05/06/1986
2679c023-61c1-5d87-9e66-ef4e69a57d21,Harriett,Sullivan,Male,zaf@aj.am,61,9/17/1977,FALSE,Guttoj Boulevard,V6D 2T1,AB,Olhaez,98.944,55.47833,pack22,MTN,(676) 205-6194,$1064.29,12/31/1960,09/06/1930
bd5cd31a-c513-5321-8dfc-78edd2eb1e0f,Kevin,Myers,Male,jum@amoluthoh.iq,23,4/21/1955,FALSE,Mazar Terrace,N3H 4L2,MB,Nunotci,8.01474,-1.95011,pack23,Cell C,(273) 760-9756,$9524.91,02/11/2027,01/09/1969
316dad37-696d-5abf-9682-faaf16745b3a,Cordelia,Thornton,Male,gaci@kijhe.pa,27,11/29/1975,FALSE,Badfo Glen,B5N 2C0,NT,Damonu,-79.61526,-82.30178,pack24,Vodacom,(959) 317-8103,$4177.85,07/30/1931,05/31/1947
62e4ca7e-a8e7-5ad6-935a-76474653d128,Shane,Johnston,Male,vacajuj@roc.jp,58,12/28/1986,TRUE,Ovusi Parkway,G4K 1M7,NL,Zugiir,160.49733,-72.96966,pack25,MTN,(340) 477-9772,$9752.29,06/27/1908,10/27/1996
bf1ccc00-4e7a-5888-b0ee-213648c36074,Ophelia,Henry,Female,befcepwe@ij.rw,50,7/31/1957,TRUE,Fehluv Ridge,G9Q 7H8,PE,Zeajzor,-168.46144,-31.89579,pack26,Cell C,(723) 477-1980,$1478.04,09/11/1952,11/28/1979
62e4ca7e-a8e7-5ad6-935a-76474653d128,Shane,Johnston,Male,vacajuj@roc.jp,42,12/28/1987,TRUE,Ovusi Parkway,G4K 1M8,NL,Zugiir,-497.42021,9.17808,pack27,MTN,(340) 477-9773,$9752.30,06/27/1909,10/27/1997
bf1ccc00-4e7a-5888-b0ee-213648c36074,Ophelia,Henry,Female,befcepwe@ij.rw,34,7/31/1958,TRUE,Fehluv Ridge,G9Q 7H9,PE,Zeajzor,-826.37898,50.25195,pack28,Cell C,(723) 477-1981,$1478.05,09/11/1953,11/28/1980
a4f7f218-c179-5360-a275-6cae13b4deb2,Julia,Boone,Female,gattohtow@wipu.st.eu,25,10/24/1959,FALSE,Meho Glen,K4S 6I1,PE,Zimatifa,-126.05515,5.21365,pack29,Vodacom,(433) 815-9223,$9410.07,04/06/1965,09/13/2004
01475df2-5fd3-51c8-9cf8-42cefa46bc93,Blanche,Greene,Female,raldorik@olpevve.vu,49,9/11/1992,TRUE,Avadic Center,T8A 0Q2,NS,Nensamira,-26.98671,-8.45796,pack30,MTN,(282) 907-4697,$6809.81,12/26/1924,05/28/2013
b2f4f8ce-e9dd-5ac0-9b43-f2a001360245,Barbara,Wilkins,Female,vip@sudlimbu.ws,56,9/10/1975,FALSE,Afafo Turnpike,P1X 0J1,AB,Poozuage,84.58729,-3.83492,pack31,Cell C,(502) 670-8014,$4142.15,04/23/1935,07/09/1987
edf28faa-5ffc-5b37-9dd8-03153a590673,Trevor,Mack,Female,tafare@alduk.za,24,7/27/1988,TRUE,Zigeg Grove,R4P 0X9,NT,Vagukid,-121.80668,55.71638,pack32,Vodacom,(765) 711-7900,$8205.14,05/13/1973,10/13/1910
34a69d7e-8d0f-5d9d-955b-f23fb988ee11,Lottie,Fox,Female,wu@sut.ro,55,1/25/1972,TRUE,Lifiv Loop,B5X 5M9,AB,Owecohbe,-156.97451,81.68441,pack33,MTN,(925) 793-2608,$8949.88,08/23/1970,12/26/1979
b864a174-81e0-5ef1-b43c-ac6b29176caa,Estelle,Ramirez,Male,huhzovvaj@boktacli.ai,53,1/5/1984,TRUE,Teheh Plaza,M3I 5H0,NS,Duzatvu,4.01705,-5.54541,pack34,Cell C,(951) 227-5563,$6590.32,05/29/1936,08/15/1941
649e40c2-f10e-5e5c-8d55-c9102f32e14c,Eula,Bowman,Male,sil@sod.de,37,6/7/1970,TRUE,Zutaf Lane,A5Y 1G1,SK,Fedzedop,48.76653,-45.02828,pack35,Vodacom,(913) 658-5167,$2110.01,06/17/1933,12/08/1991
010c5730-6369-55c1-9a11-5d3538e9608e,Flora,Joseph,Female,or@etguwe.mk,32,5/4/1956,FALSE,Vaego Path,V6N 8R7,MB,Cimorik,90.78021,-53.62103,pack36,MTN,(878) 304-5304,$9322.73,03/23/2032,09/02/2038
36c77927-a6e0-5f8b-865b-a328a0f5def3,Viola,Collier,Female,cumi@ge.edu,37,8/22/1963,FALSE,Vuje Road,M3N 2G2,SK,Sadagcuh,144.32139,-21.91183,pack37,Cell C,(673) 219-8715,$3654.63,05/28/1905,08/24/2001
3fb6e292-acd7-5a73-93ea-deb9f930855c,Jeffery,Harrington,Male,sepezo@ogocmod.wf,54,8/22/1985,TRUE,Tajeg Point,R6V 7S7,NS,Wupmujfo,25.07035,-72.06483,pack38,Vodacom,(638) 870-8461,$7141.19,08/11/1993,02/07/2005
44eb0552-f184-5f56-bd9f-34901847dc75,Nathan,Gray,Male,dozedzab@utbepovu.jm,59,12/14/1956,FALSE,Pattap River,B2M 5T3,NL,Himunci,-154.19414,-60.83319,pack39,MTN,(648) 268-8961,$147.80,06/14/1979,03/01/1966
3bda7f83-4ff4-5fd9-9320-03bb3d3d71b2,Elva,Owen,Male,ibofatzu@jeupi.ao,47,1/10/1998,TRUE,Manzer Junction,H9C 4Q8,AB,Cuspejeh,-132.86286,86.12528,pack40,Cell C,(671) 903-9143,$2163.57,01/30/1987,02/10/1987
f3718e14-53c5-53a4-9cdc-b584384715ce,Viola,Ingram,Female,mu@buc.hu,54,9/16/1975,TRUE,Totruh Point,J7H 9K6,PE,Febmidfuw,153.25776,-18.10494,pack41,Vodacom,(219) 578-1111,$2291.83,09/21/2061,07/30/2029
31496e11-5388-5445-b194-9613f8ff3809,Ophelia,Santos,Male,azudagiv@mopo.ge,32,12/28/1956,TRUE,Tiol Street,X8S 2X0,ON,Rocelice,-44.01016,65.91308,pack42,MTN,(359) 921-8630,$366.79,04/02/2041,09/14/2024
78702e27-20a7-5d50-a4da-ac85d8b61bb4,Virginia,Taylor,Female,me@cawuken.fm,63,3/9/1988,TRUE,Puot Turnpike,G6D 7P6,ON,Gangucez,-157.31137,-12.19599,pack43,Cell C,(220) 644-4471,$8456.76,04/23/1937,07/26/1940
685d58ad-73ad-5fb1-9948-eec4d802014b,Isabella,Brady,Female,betdoluv@ocautehiz.va,18,8/20/1973,TRUE,Dofe Circle,N9T 0K2,NS,Walivhaj,-116.42462,83.85441,pack44,Vodacom,(680) 684-3848,$4565.28,10/19/1968,07/10/2051
f945fd32-e160-5f00-aa90-68aecb2a1752,Minnie,Simpson,Female,deg@nuseh.tk,18,12/29/1961,FALSE,Zahah View,L4C 0N9,PE,Dimozi,28.88967,-47.67325,pack45,MTN,(752) 383-5853,$1347.71,01/09/2068,05/13/2062
ca19d335-d1b6-5f74-a146-6e833b4a0de3,Jon,Lowe,Male,fu@viusu.gh,53,6/19/1995,FALSE,Zafko Parkway,B1N 1T8,NB,Wekeblev,6.37495,-46.35033,pack46,Cell C,(554) 630-7533,$660.73,09/22/2061,06/03/1904
6b830080-7f3c-5370-8f37-7b9a2e446f08,Nelle,McCarthy,Female,lamsani@velpa.bo,26,8/10/1971,TRUE,Duer Path,V1A 8Y9,MB,Lizbuftuw,86.35897,20.37115,pack47,Vodacom,(805) 308-1228,$155.30,03/08/1949,07/16/1989
eda143be-d9d9-57bd-9d2b-b67a9aaf519b,Hulda,Stephens,Male,kilubezo@su.ie,52,3/14/1959,FALSE,Elwo Mill,G0K 2N1,SK,Kazkavih,-160.58457,-77.07203,pack48,MTN,(715) 526-4123,$935.62,04/02/2066,08/16/1992
38ddfe55-7373-5967-8344-766ae5f5cba7,Clifford,Figueroa,Female,busadefa@vaizjej.mx,31,4/4/1957,TRUE,Vuril Parkway,S1N 5X2,SK,Kajitez,-72.08642,52.93657,pack49,Cell C,(570) 313-5123,$4136.37,12/19/1900,06/01/1933
ea148c56-1bd5-5f65-b622-750479370f43,Louise,Jimenez,Female,mi@iviigazal.cu,51,11/25/1983,TRUE,Udobi Pike,G3X 3S7,ON,Pofogij,-152.81204,80.2705,pack50,Vodacom,(575) 569-6840,$6883.26,04/18/1964,06/03/2070
75eb2d34-7bdd-5a79-b3a7-93cdbb64f393,Mattie,Garrett,Female,wibaz@parouj.vu,60,10/22/1988,FALSE,Ecopod Junction,H0S 3W2,SK,Cirupama,-114.93907,-6.60771,pack51,MTN,(309) 200-2241,$1583.12,09/11/2040,12/16/2050
e49f1086-3b98-5797-a835-5e3396355b73,Maurice,Shaw,Female,rebahgas@rernuv.gt,43,2/25/1986,TRUE,Covvog Trail,R6R 9W4,YT,Apimohiz,162.2583,-55.3974,pack52,Cell C,(382) 531-4560,$5126.92,08/01/1963,10/13/1942
0c906c15-d784-5641-b663-bb58270eab68,Ronnie,Wells,Female,kiv@tahu.ss,41,2/21/1981,FALSE,Emeupa Square,H6R 5R1,QC,Faliho,-34.43372,49.93377,pack53,Vodacom,(570) 210-2488,$8822.72,10/25/1999,12/09/2025
3697ba6a-297f-568d-8ddc-f7fce0763e29,Brent,Medina,Female,adnuher@anipida.ug,38,2/27/1970,TRUE,Julo Heights,S1C 6Y8,BC,Hewbokkor,52.93161,89.16079,pack54,MTN,(706) 307-8307,$9553.25,09/25/1923,11/08/2032
19d86f8c-6b0a-5efa-a3c0-fc2e45aa4bcd,Helen,Poole,Male,pewur@iflaar.zm,62,10/11/1957,FALSE,Onmuj Way,L5K 7R5,AB,Piksipi,34.95714,-51.03875,pack55,Cell C,(602) 859-9027,$2193.55,07/15/1989,09/09/1909
556bc8e5-ab43-50b3-8ffe-4a729aeaf011,Lucille,Jefferson,Female,zuvipe@sen.ve,37,10/11/1972,FALSE,Lusev Loop,S6O 3N7,QC,Tuhmujgap,144.22369,-56.49705,pack56,Vodacom,(330) 571-2417,$1770.89,10/14/1951,12/29/1970
72ce1b6c-e96c-5706-b574-1e28b12465dc,Arthur,Delgado,Male,ahroren@ulefuvvok.my,44,2/15/1956,TRUE,Ziddo Loop,M5O 9Y3,YT,Pulvubenu,-99.47247,-66.88751,pack57,MTN,(201) 972-9707,$7606.91,06/05/2006,07/03/1975
fd8e19eb-c8cf-5ac6-a5d5-59e1070f9d47,Bess,Harper,Female,fo@vib.ps,59,6/26/1975,FALSE,Voev Highway,T2U 7Q8,NB,Vehwoke,42.94445,-74.5386,pack58,Cell C,(579) 321-1832,$6020.40,04/19/2005,06/05/1919
c162dbe6-aa0a-5e22-9bb1-ea8b2a1e08a7,Beulah,Walsh,Male,vadiwah@nanureije.eh,63,8/30/1992,FALSE,Defhut Park,X7V 1I3,MB,Hujopmar,-141.50598,-62.60857,pack59,Vodacom,(345) 474-8928,$6880.19,03/07/1950,08/03/1911
a1148199-c144-5fde-832d-53146bfcd2a6,Troy,Olson,Male,vavuew@coszevog.ph,34,2/1/1990,TRUE,Remra Plaza,L7I 6U3,PE,Hehazul,-70.25851,84.34404,pack60,MTN,(876) 250-3873,$2581.39,02/27/1978,08/11/2066
6c67ff0f-7eab-51dc-a0d0-2b031de66038,Marcus,Lee,Male,jecmutjem@it.gov,35,8/30/1993,TRUE,Riwsu Way,H4P 4F1,NL,Hidonso,-64.60778,55.11671,pack61,Cell C,(547) 961-4400,$4549.24,09/20/1908,01/24/1902
05ff39c0-542a-52db-b543-af17ee8cb98b,Lola,Fields,Female,min@akocet.uy,48,5/8/1957,FALSE,Bepek Lane,L2S 8P4,AB,Lenababi,-78.25083,-53.98383,pack62,Vodacom,(537) 714-8359,$4672.79,08/09/1920,09/04/1999
864541e5-e9f8-52b6-aa2c-993295ed7f0d,Marie,Arnold,Male,ubgu@sijgu.cf,26,9/28/1968,FALSE,Somop Trail,M8L 0S1,NL,Puuspe,158.82851,77.19111,pack63,MTN,(633) 436-2957,$2435.25,05/03/2007,10/17/1992
41a5578f-fb97-507c-b392-63c6f5c46a75,Lena,Aguilar,Male,hetbehaf@jum.sx,38,4/11/1997,FALSE,Apesa Glen,K5C 2L9,MB,Ovemok,-159.17706,53.28097,pack64,Cell C,(280) 586-8630,$841.57,01/16/2056,02/26/2055
401add9d-7f87-5403-b3fe-a1690fc79cc7,Duane,Sullivan,Female,lunmatli@lejni.tp,36,8/5/1996,TRUE,Tupam Manor,H5G 9B0,NT,Sumlibeva,-120.36501,26.87658,pack65,Vodacom,(456) 515-6302,$2131.32,08/07/1961,12/14/2041
897a7114-fb12-589c-b52b-579499868a21,Polly,Rodgers,Female,poblif@ki.ao,51,1/5/1986,FALSE,Biwto Terrace,K4P 9X0,NS,Movmazwev,-63.47952,-12.5784,pack66,MTN,(555) 294-2530,$7548.01,01/19/2036,08/23/2042
675d20d7-859d-52bf-a07f-946e671b5753,Ida,Bishop,Female,iwe@le.fm,38,5/24/1998,FALSE,Sarvus Center,V8B 1D5,ON,Mobibvo,49.59078,32.52484,pack67,Cell C,(342) 609-7838,$2668.90,06/01/1966,02/09/2068
d5e2fc14-8f64-554d-b631-8c04d027f9ee,Isaac,Fleming,Female,ka@re.ru,53,2/12/1970,TRUE,Etide Manor,M5E 9K9,NS,Ceitvu,-24.70422,-67.90542,pack68,Vodacom,(417) 957-4035,$5791.60,12/10/1933,01/19/1959
a8fc45b5-8fad-5d60-8fda-2c9f004819c0,Dylan,Townsend,Male,vunwuhde@vuupe.cd.de,65,11/29/1971,FALSE,Zamal Ridge,N4M 0O6,MB,Wifeha,-65.80414,-46.50545,pack69,MTN,(283) 646-8843,$3900.40,08/11/2067,08/28/1947
fb92c834-c722-594f-b1b4-620584c00a84,Florence,Armstrong,Male,zeljoj@bo.iq,59,8/25/1955,FALSE,Ivuvus Square,C3O 6H0,SK,Alifulic,-23.19436,-3.31361,pack70,Cell C,(588) 489-7170,$8012.52,09/06/1905,11/12/2039
68176b9e-078f-588b-8e9f-e90da5218719,Glenn,Edwards,Male,zen@hez.ba,23,12/4/1955,FALSE,Edhon Circle,P1A 8T8,NS,Tetcepi,-73.26696,85.08604,pack71,Vodacom,(476) 497-4372,$91.55,03/28/1952,08/24/2054
b66cca48-b031-5f55-a86b-62017a7a8507,Bernice,Cross,Male,rithoute@ce.im,24,9/11/1969,TRUE,Povad Loop,N8O 9I1,MB,Dusolal,-170.73855,23.23447,pack72,MTN,(313) 585-6891,$8452.61,08/31/1955,10/31/1931
b10ed96b-efa0-550c-8c70-ee7342d39707,Brent,Jennings,Male,wiguw@tovalfup.com,46,6/21/1955,FALSE,Futhu Lane,A7P 0U2,YT,Kulopruk,22.57071,86.37875,pack73,Cell C,(671) 575-1264,$6240.22,10/04/1959,05/24/1936
629e49e8-b206-5116-97b7-77877251eaae,Gilbert,Weaver,Male,hotwejhed@kor.cv,53,7/21/1986,TRUE,Hicev Street,A0Q 1W7,NB,Wucifpa,-103.36177,73.78906,pack74,Vodacom,(688) 678-7436,$8519.39,05/02/1936,09/14/2059
8f202fa4-2975-5a00-88fe-cf17d7cd9ca6,Bill,Salazar,Male,fosec@tofwoofi.mr,58,2/6/1958,FALSE,Jikci River,H5E 1E6,NS,Kobjijta,-49.53883,84.35939,pack75,MTN,(506) 430-2665,$5155.43,12/21/2041,04/18/1915
316d3c80-9d8b-5ea9-8ec1-43c59d7a1bc0,Lida,Washington,Male,ate@pes.al,44,2/20/1977,TRUE,Kozir Highway,E6V 5Q5,PE,Tedcerop,-137.08212,-14.49197,pack76,Cell C,(651) 439-3273,$9628.88,08/10/1959,02/01/2031
59a36a91-6025-5823-adc3-d2184f1e1913,Fred,Boone,Male,buob@huc.gi,25,12/18/1998,TRUE,Bawur Highway,T5R 1G1,ON,Ewejede,-156.03683,11.3742,pack77,Vodacom,(842) 917-8723,$8379.64,09/12/2069,04/28/2025
8006ff2c-ae9b-59de-bdf5-046b5e72699c,Eunice,Pierce,Male,puj@luha.bd,36,9/24/1954,TRUE,Abadut Way,N4Y 6K5,NS,Nilimig,-79.42312,-2.97864,pack78,MTN,(935) 217-7809,$7250.72,09/03/1930,10/17/1986
74eb4f09-b760-5016-b94d-ebadf37d9847,Shane,Drake,Male,cocelgiv@wusonedo.tl,39,4/20/1976,TRUE,Apwub Manor,A7X 6Y7,BC,Duvficu,-28.94605,-17.9919,pack79,Cell C,(721) 368-1140,$2767.58,08/01/2006,08/20/1994
3f1ace47-3be3-5c14-9acd-4add4d3fa12e,Alberta,Ellis,Male,uha@pecali.org,49,9/7/1953,FALSE,Kafi Street,P2B 3R8,NS,Fikesfub,32.02225,10.37082,pack80,Vodacom,(905) 411-7978,$4824.62,10/09/2040,10/28/2067
41a49bea-48fb-5a97-9513-58b2407d491a,Mittie,Adams,Male,irasa@havtado.mo,32,9/30/1986,FALSE,Dogez Heights,H9A 8O8,NL,Osgubu,-130.66575,-34.99279,pack81,MTN,(784) 926-5613,$2586.05,02/04/1938,03/20/1969
ebbaefd6-70fe-5347-94f0-4045137035fa,Sally,Clayton,Female,kep@egoefacah.tr,20,6/11/1965,FALSE,Tidi Plaza,V8S 2P0,NT,Vuhudsap,85.63898,40.52735,pack82,Cell C,(323) 427-3096,$8613.67,11/17/2034,01/19/1973
228b03b0-8b73-5d4b-8cce-8fa3bafe5743,John,Boone,Male,pufpawsuv@jaloz.sk,27,10/17/1980,FALSE,Ilugi Path,K0R 4H9,NL,Wovpiva,-85.72894,50.75898,pack83,Vodacom,(930) 297-7018,$801.00,12/25/1987,10/08/1931
28e77111-75d5-5a8a-bef6-5e686744792f,Terry,Wise,Male,wed@mu.mt,22,10/20/1962,TRUE,Riguwi Road,L8F 9Z1,SK,Zogmecpel,67.75329,-31.6449,pack84,MTN,(782) 377-2885,$8618.51,05/10/1915,11/14/2014
3ad9ba55-65df-5811-b2f4-df15f66e78f7,Connor,Arnold,Male,dup@ucuwur.cm,62,2/20/1996,FALSE,Hebfez Trail,P2L 5R9,BC,Gojope,-71.32351,2.89669,pack85,Cell C,(532) 230-4434,$9509.85,02/24/1978,02/01/2069
e0faab98-dd52-5d14-8502-3b2e94b2b52e,Brandon,Richards,Male,cocu@ihe.hm,19,10/12/1962,FALSE,Ofunel Road,R9I 4H3,QC,Befbikupu,-114.93545,-34.63652,pack86,Vodacom,(356) 690-1752,$4586.18,11/26/2023,03/31/1922
49b2bf48-9b60-5c1a-a900-0355e5d65b53,Marion,Yates,Female,om@bormiv.om,61,8/11/1975,TRUE,Wiaw Lane,P6S 9O1,NS,Molikofi,51.84786,-55.29434,pack87,MTN,(483) 227-1250,$1264.31,05/11/1974,09/09/2048
aa7734a0-35c0-5d45-b249-330c43a10936,Mayme,Ray,Male,raufged@huemco.gs,19,8/12/2000,TRUE,Siwi Way,S7X 5B2,ON,Kutmoti,5.8267,-51.78055,pack88,Cell C,(683) 867-6713,$5866.21,02/28/2053,07/23/1929
c947c635-c0c3-525d-9d82-7de7bd01cef8,Adeline,Brooks,Male,vam@fe.md,39,7/13/1963,FALSE,Temok Key,T0X 2W2,NT,Deferu,30.19442,5.77108,pack89,Vodacom,(848) 880-4359,$92.53,12/22/1945,04/20/2027
6eaed39c-953f-5ed0-b560-a3e9fa45f348,Lydia,Thompson,Female,fensedi@oz.ro,64,12/15/1974,TRUE,Anron Park,G8S 7E5,YT,Epogelpo,-119.3686,58.29266,pack90,MTN,(314) 829-1273,$3309.47,04/25/1905,12/04/1990
15eca180-659a-5347-99e5-d1300f36d490,Leroy,Arnold,Male,zat@pijlocuz.sk,35,12/13/1960,TRUE,Guteni View,G2Y 8T5,QC,Foafupup,37.05242,-42.552,pack91,Cell C,(430) 261-3199,$9995.92,04/09/1951,08/19/1965
58e23dff-532d-5472-818f-e5d728cd453e,Johanna,Ballard,Female,hegbovu@igkuej.gw,31,2/18/1974,FALSE,Damrel Plaza,B6L 7C5,SK,Upiagdu,67.05654,59.82567,pack92,Vodacom,(376) 323-7597,$9087.61,10/26/1909,09/10/1921
e348f634-5c75-52db-ac1a-27907c1084e4,Birdie,Vargas,Female,ham@duti.ga,53,2/2/1976,FALSE,Dekof Circle,E8X 3I5,SK,Pusowosam,57.67639,-37.79085,pack93,MTN,(767) 633-8082,$496.54,11/12/1934,07/22/2043
8e72a4b8-5af4-58ba-a73a-80a4c2ddf7d2,Eunice,Pope,Male,ku@osko.az,56,3/11/1969,TRUE,Nobiz Glen,V4X 9U2,NT,Idmesow,-13.53394,-46.85607,pack94,Cell C,(549) 323-4686,$4629.78,08/18/1927,04/15/1938
3c9f8d2b-d632-56bb-a965-8b0e0c584072,Dollie,Berry,Male,mimegenar@ecpif.ss,58,10/27/1964,FALSE,Izaz Path,P7N 2Y5,NU,Inkaifi,118.11691,-3.72989,pack95,Vodacom,(968) 441-2613,$1103.28,02/11/1944,02/07/2007
d235bc75-d29d-53a8-8fab-d822c5719cc9,Leah,Logan,Male,omnu@ojlijah.pr,40,7/5/1970,TRUE,Hezi Extension,V4S 6R7,PE,Rucapzo,-15.14585,47.09714,pack96,MTN,(825) 786-1342,$872.49,02/04/2000,07/29/1923
40769102-a308-592c-aa13-b7fbf7c6ddde,Leah,Ryan,Male,dewu@na.mp,58,11/27/1985,TRUE,Game Boulevard,S8X 4W5,SK,Edpujpo,105.57576,-74.38181,pack97,Cell C,(435) 252-8718,$6100.66,09/28/2043,08/25/2014
54cd80fe-2f08-5294-9a5f-68a685eb6cca,Ian,Peterson,Male,kag@feodmu.my,56,4/20/1986,TRUE,Awudeg Pike,R7N 5Y5,PE,Tabbumber,-130.62564,84.90747,pack98,Vodacom,(531) 846-8639,$9775.33,01/06/1903,04/03/2066
bc61f926-43b2-50e3-bacd-da8064e718be,Adelaide,Boone,Male,ni@wowo.com,19,9/6/1955,TRUE,Aguku Park,H3U 8Q1,AB,Cubimul,152.60249,-8.99388,pack99,MTN,(209) 859-4898,$6628.19,11/17/1968,06/28/2032
