Phone,Event type,Date,Time Stamp
(507) 374-7317,Voice,01/04/2018,22:37:30
(959) 317-8106,SMS,01/04/2018,19:26:31
(433) 815-9226,Data,01/04/2018,21:52:15
(765) 711-7903,Voice,01/04/2018,13:43:50
(913) 658-5170,SMS,01/04/2018,20:16:55
(638) 870-8464,Data,01/04/2018,14:28:11
(219) 578-1114,Voice,01/04/2018,22:53:19
(680) 684-3851,SMS,01/04/2018,11:55:45
(805) 308-1231,Data,01/04/2018,12:00:09
(575) 569-6843,Voice,01/04/2018,4:33:36
(570) 210-2491,SMS,01/04/2018,22:07:09
(330) 571-2420,Data,01/04/2018,1:25:56
(345) 474-8931,Voice,01/04/2018,3:42:04
(537) 714-8362,SMS,01/04/2018,1:04:23
(456) 515-6305,Data,01/04/2018,23:59:40
(417) 957-4038,Voice,01/04/2018,4:40:05
(476) 497-4375,SMS,01/04/2018,20:15:41
(688) 678-7439,Data,01/04/2018,10:49:06
(842) 917-8726,Voice,01/04/2018,17:38:18
(905) 411-7981,SMS,01/04/2018,8:14:23
(930) 297-7021,Data,01/04/2018,18:56:37
(356) 690-1755,Voice,01/04/2018,3:45:45
(848) 880-4362,SMS,01/04/2018,12:02:24
(376) 323-7600,Data,01/04/2018,22:48:43
(968) 441-2616,Voice,01/04/2018,2:31:33
(531) 846-8642,SMS,01/04/2018,20:01:09
(678) 683-9105,Data,01/04/2018,22:41:03
(568) 441-6602,Voice,01/04/2018,9:26:56
(282) 907-4693,SMS,01/04/2018,11:13:01
(842) 917-8726,Data,01/04/2018,8:05:04
(341) 309-1672,Voice,01/04/2018,11:48:38
(568) 722-4688,SMS,01/04/2018,3:29:31
(689) 945-3120,Data,01/04/2018,5:45:42
(453) 709-1141,Voice,01/04/2018,19:36:46
(342) 641-5995,SMS,01/04/2018,16:43:39
(873) 527-9336,Data,01/04/2018,22:51:32
(507) 374-7318,Voice,01/04/2018,18:19:45
(959) 317-8107,SMS,01/04/2018,8:27:29
(433) 815-9227,Data,01/04/2018,4:16:19
(765) 711-7904,Voice,01/04/2018,11:02:33
(913) 658-5171,SMS,01/04/2018,13:32:01
(638) 870-8465,Data,01/04/2018,22:01:56
(219) 578-1115,Voice,01/04/2018,3:38:13
(680) 684-3852,SMS,01/04/2018,18:59:45
(805) 308-1232,Data,01/04/2018,23:09:25
(575) 569-6844,Voice,01/04/2018,15:36:57
(570) 210-2492,SMS,01/04/2018,13:13:27
(330) 571-2421,Data,01/04/2018,13:45:15
(345) 474-8932,Voice,01/04/2018,19:48:27
(537) 714-8363,SMS,01/04/2018,9:05:14
(456) 515-6306,Data,01/04/2018,7:27:15
(417) 957-4039,Voice,01/04/2018,16:39:24
(476) 497-4376,SMS,01/04/2018,23:31:43
(688) 678-7440,Data,01/04/2018,10:33:28
(842) 917-8727,Voice,01/04/2018,19:26:35
(905) 411-7982,SMS,01/04/2018,6:29:47
(930) 297-7022,Data,01/04/2018,16:15:17
(356) 690-1756,Voice,01/04/2018,16:55:51
(848) 880-4363,SMS,01/04/2018,18:25:15
(376) 323-7601,Data,01/04/2018,18:52:42
(968) 441-2617,Voice,01/04/2018,8:21:48
(531) 846-8643,SMS,01/04/2018,20:22:41
(678) 683-9106,Data,01/04/2018,18:36:15
(568) 441-6603,Voice,01/04/2018,17:06:51
(282) 907-4694,SMS,01/04/2018,5:08:21
(842) 917-8727,Data,01/04/2018,7:09:22
(341) 309-1673,Voice,01/04/2018,20:03:20
(568) 722-4689,SMS,01/04/2018,21:19:05
(689) 945-3121,Data,01/04/2018,5:48:26
(453) 709-1142,Voice,01/04/2018,3:01:05
(342) 641-5996,SMS,01/04/2018,2:38:06
(873) 527-9337,Data,01/04/2018,9:07:15
(507) 374-7319,Voice,01/04/2018,15:03:56
(959) 317-8108,SMS,01/04/2018,2:21:37
(433) 815-9228,Data,01/04/2018,19:04:30
(765) 711-7905,Voice,01/04/2018,10:59:09
(913) 658-5172,SMS,01/04/2018,0:23:35
(638) 870-8466,Data,01/04/2018,6:59:28
(219) 578-1116,Voice,01/04/2018,23:19:13
(680) 684-3853,SMS,01/04/2018,20:37:54
(805) 308-1233,Data,01/04/2018,9:00:35
(575) 569-6845,Voice,01/04/2018,1:45:53
(570) 210-2493,SMS,01/04/2018,13:21:40
(330) 571-2422,Data,01/04/2018,15:17:14
(345) 474-8933,Voice,01/04/2018,10:56:45
(537) 714-8364,SMS,01/04/2018,1:14:53
(456) 515-6307,Data,01/04/2018,15:57:13
(417) 957-4040,Voice,01/04/2018,4:11:49
(476) 497-4377,SMS,01/04/2018,19:30:28
(688) 678-7441,Data,01/04/2018,7:22:21
(842) 917-8728,Voice,01/04/2018,16:15:28
(905) 411-7983,SMS,01/04/2018,19:51:15
(930) 297-7023,Data,01/04/2018,15:44:42
(356) 690-1757,Voice,01/04/2018,6:41:41
(848) 880-4364,SMS,01/04/2018,22:47:27
(376) 323-7602,Data,01/04/2018,5:25:28
(968) 441-2618,Voice,01/04/2018,4:46:29
(531) 846-8644,SMS,01/04/2018,22:18:02
(678) 683-9107,Data,01/04/2018,20:03:17
(568) 441-6604,Voice,01/04/2018,23:13:38
(282) 907-4695,SMS,01/04/2018,7:27:05
(842) 917-8728,Data,01/04/2018,20:22:45
(341) 309-1674,Voice,01/04/2018,11:01:10
(568) 722-4690,SMS,01/04/2018,22:49:27
(689) 945-3122,Data,01/04/2018,1:12:16
(453) 709-1143,Voice,01/04/2018,13:33:10
(342) 641-5997,SMS,01/04/2018,12:29:28
(873) 527-9338,Data,01/04/2018,12:09:26
(507) 374-7320,Voice,01/04/2018,23:01:01
(959) 317-8109,SMS,01/04/2018,23:04:06
(433) 815-9229,Data,01/04/2018,4:49:05
(765) 711-7906,Voice,01/04/2018,11:25:14
(913) 658-5173,SMS,01/04/2018,11:28:07
(638) 870-8467,Data,01/04/2018,21:43:27
(219) 578-1117,Voice,01/04/2018,4:10:37
(680) 684-3854,SMS,01/04/2018,16:00:58
(805) 308-1234,Data,01/04/2018,9:02:35
(575) 569-6846,Voice,01/04/2018,17:05:24
(570) 210-2494,SMS,01/04/2018,5:47:18
(330) 571-2423,Data,01/04/2018,0:27:41
(345) 474-8934,Voice,01/04/2018,11:10:31
(537) 714-8365,SMS,01/04/2018,21:50:59
(456) 515-6308,Data,01/04/2018,6:29:18
(417) 957-4041,Voice,01/04/2018,4:04:36
(476) 497-4378,SMS,01/04/2018,19:16:44
(688) 678-7442,Data,01/04/2018,14:08:57
(842) 917-8729,Voice,01/04/2018,5:16:26
(905) 411-7984,SMS,01/04/2018,12:18:26
(930) 297-7024,Data,01/04/2018,23:20:24
(356) 690-1758,Voice,01/04/2018,16:06:56
(848) 880-4365,SMS,01/04/2018,16:44:19
(376) 323-7603,Data,01/04/2018,10:48:50
(968) 441-2619,Voice,01/04/2018,15:06:13
(531) 846-8645,SMS,01/04/2018,15:04:24
(678) 683-9108,Data,01/04/2018,15:22:38
(568) 441-6605,Voice,01/04/2018,4:55:57
(282) 907-4696,SMS,01/04/2018,14:25:30
(842) 917-8729,Data,01/04/2018,7:37:12
(341) 309-1675,Voice,01/04/2018,5:28:30
(568) 722-4691,SMS,01/04/2018,10:57:46
(689) 945-3123,Data,01/04/2018,13:42:55
(453) 709-1144,Voice,01/04/2018,1:39:09
(342) 641-5998,SMS,01/04/2018,15:37:53
(873) 527-9339,Data,01/04/2018,7:15:13
(507) 374-7321,Voice,01/04/2018,20:40:55
(959) 317-8110,SMS,01/04/2018,0:12:46
(433) 815-9230,Data,01/04/2018,18:29:18
(765) 711-7907,Voice,01/04/2018,3:25:46
(913) 658-5174,SMS,01/04/2018,6:43:39
(638) 870-8468,Data,01/04/2018,20:33:35
(219) 578-1118,Voice,01/04/2018,1:20:57
(680) 684-3855,SMS,01/04/2018,10:56:50
(805) 308-1235,Data,01/04/2018,14:54:24
(575) 569-6847,Voice,01/04/2018,12:48:25
(570) 210-2495,SMS,01/04/2018,22:33:49
(330) 571-2424,Data,01/04/2018,12:45:40
(345) 474-8935,Voice,01/04/2018,7:58:18
(537) 714-8366,SMS,01/04/2018,19:57:14
(456) 515-6309,Data,01/04/2018,8:48:18
(417) 957-4042,Voice,01/04/2018,8:06:05
(476) 497-4379,SMS,01/04/2018,5:13:30
(688) 678-7443,Data,01/04/2018,7:50:46
(842) 917-8730,Voice,01/04/2018,21:17:11
(905) 411-7985,SMS,01/04/2018,8:52:32
(930) 297-7025,Data,01/04/2018,5:55:49
(356) 690-1759,Voice,01/04/2018,18:30:38
(848) 880-4366,SMS,01/04/2018,9:17:52
(376) 323-7604,Data,01/04/2018,3:49:52
(968) 441-2620,Voice,01/04/2018,22:09:48
(531) 846-8646,SMS,01/04/2018,15:09:40
(678) 683-9109,Data,01/04/2018,2:24:29
(568) 441-6606,Voice,01/04/2018,17:49:57
(282) 907-4697,SMS,01/04/2018,23:37:45
(842) 917-8730,Data,01/04/2018,10:24:22
(341) 309-1676,Voice,01/04/2018,20:48:23
(568) 722-4692,SMS,01/04/2018,14:51:10
(689) 945-3124,Data,01/04/2018,7:42:28
(453) 709-1145,Voice,01/04/2018,6:57:25
(342) 641-5999,SMS,01/04/2018,8:57:24
(873) 527-9340,Data,01/04/2018,2:04:50
(507) 374-7322,Voice,01/04/2018,18:32:56
(959) 317-8111,SMS,01/04/2018,15:20:52
(433) 815-9231,Data,01/04/2018,14:41:48
(765) 711-7908,Voice,01/04/2018,3:03:28
(913) 658-5175,SMS,01/04/2018,2:19:09
(638) 870-8469,Data,01/04/2018,20:55:21
(219) 578-1119,Voice,01/04/2018,10:25:10
(680) 684-3856,SMS,01/04/2018,3:04:50
(805) 308-1236,Data,01/04/2018,5:34:46
(575) 569-6848,Voice,01/04/2018,16:45:27
(570) 210-2496,SMS,01/04/2018,9:48:32
(330) 571-2425,Data,01/04/2018,4:17:24
(345) 474-8936,Voice,01/04/2018,12:44:25
(537) 714-8367,SMS,01/04/2018,8:37:47
(456) 515-6310,Data,01/04/2018,23:15:55
(417) 957-4043,Voice,01/04/2018,17:34:59
(476) 497-4380,SMS,01/04/2018,22:03:47
(688) 678-7444,Data,01/04/2018,5:39:19
(842) 917-8731,Voice,01/04/2018,12:21:33
(905) 411-7986,SMS,01/04/2018,6:50:08
(930) 297-7026,Data,01/04/2018,12:34:49
(356) 690-1760,Voice,01/04/2018,11:59:08
(848) 880-4367,SMS,01/04/2018,8:32:31
(376) 323-7605,Data,01/04/2018,16:42:15
(968) 441-2621,Voice,01/04/2018,16:06:51
(531) 846-8647,SMS,01/04/2018,16:50:20
(678) 683-9110,Data,01/04/2018,7:23:17
(568) 441-6607,Voice,01/04/2018,17:40:26
(282) 907-4698,SMS,01/04/2018,23:43:01
(842) 917-8731,Data,01/04/2018,12:33:48
(341) 309-1677,Voice,01/04/2018,20:28:27
(568) 722-4693,SMS,01/04/2018,5:52:50
(689) 945-3125,Data,01/04/2018,0:27:43
(453) 709-1146,Voice,01/04/2018,11:32:18
(342) 641-6000,SMS,01/04/2018,1:13:55
(873) 527-9341,Data,01/04/2018,13:09:08
(507) 374-7323,Voice,01/04/2018,21:18:53
(959) 317-8112,SMS,01/04/2018,8:33:57
(433) 815-9232,Data,01/04/2018,21:39:51
(765) 711-7909,Voice,01/04/2018,4:39:30
(913) 658-5176,SMS,01/04/2018,7:13:44
(638) 870-8470,Data,01/04/2018,6:15:43
(219) 578-1120,Voice,01/04/2018,22:05:41
(680) 684-3857,SMS,01/04/2018,15:19:00
(805) 308-1237,Data,01/04/2018,11:13:28
(575) 569-6849,Voice,01/04/2018,23:14:47
(570) 210-2497,SMS,01/04/2018,18:26:17
(330) 571-2426,Data,01/04/2018,12:29:23
(345) 474-8937,Voice,01/04/2018,18:40:57
(537) 714-8368,SMS,01/04/2018,20:34:15
(456) 515-6311,Data,01/04/2018,4:31:50
(417) 957-4044,Voice,01/04/2018,6:52:36
(476) 497-4381,SMS,01/04/2018,8:19:00
(688) 678-7445,Data,01/04/2018,14:18:54
(842) 917-8732,Voice,01/04/2018,14:01:10
(905) 411-7987,SMS,01/04/2018,14:02:12
(930) 297-7027,Data,01/04/2018,7:59:43
(356) 690-1761,Voice,01/04/2018,2:31:04
(848) 880-4368,SMS,01/04/2018,15:04:58
(376) 323-7606,Data,01/04/2018,6:18:18
(968) 441-2622,Voice,01/04/2018,8:32:02
(531) 846-8648,SMS,01/04/2018,7:49:36
(678) 683-9111,Data,01/04/2018,6:34:15
(568) 441-6608,Voice,01/04/2018,21:16:34
(282) 907-4699,SMS,01/04/2018,20:26:18
(842) 917-8732,Data,01/04/2018,6:56:44
(341) 309-1678,Voice,01/04/2018,11:27:48
(568) 722-4694,SMS,01/04/2018,22:27:04
(689) 945-3126,Data,01/04/2018,13:32:35
(453) 709-1147,Voice,01/04/2018,9:00:43
(342) 641-6001,SMS,01/04/2018,20:45:53
(873) 527-9342,Data,01/04/2018,6:41:15
(507) 374-7324,Voice,01/04/2018,8:13:27
(959) 317-8113,SMS,01/04/2018,0:20:16
(433) 815-9233,Data,01/04/2018,1:57:27
(765) 711-7910,Voice,01/04/2018,6:46:35
(913) 658-5177,SMS,01/04/2018,7:35:31
(638) 870-8471,Data,01/04/2018,22:24:08
(219) 578-1121,Voice,01/04/2018,20:57:53
(680) 684-3858,SMS,01/04/2018,6:49:19
(805) 308-1238,Data,01/04/2018,5:20:28
(575) 569-6850,Voice,01/04/2018,18:52:22
(570) 210-2498,SMS,01/04/2018,2:28:42
(330) 571-2427,Data,01/04/2018,19:27:43
(345) 474-8938,Voice,01/04/2018,7:08:46
(537) 714-8369,SMS,01/04/2018,16:34:24
(456) 515-6312,Data,01/04/2018,3:13:34
(417) 957-4045,Voice,01/04/2018,20:49:03
(476) 497-4382,SMS,01/04/2018,18:36:38
(688) 678-7446,Data,01/04/2018,17:10:01
(842) 917-8733,Voice,01/04/2018,3:21:05
(905) 411-7988,SMS,01/04/2018,1:49:53
(930) 297-7028,Data,01/04/2018,20:10:57
(356) 690-1762,Voice,01/04/2018,1:48:59
(848) 880-4369,SMS,01/04/2018,21:57:16
(376) 323-7607,Data,01/04/2018,1:10:40
(968) 441-2623,Voice,01/04/2018,14:31:10
(531) 846-8649,SMS,01/04/2018,20:58:54
(678) 683-9112,Data,01/04/2018,17:06:03
(568) 441-6609,Voice,01/04/2018,16:12:13
(282) 907-4700,SMS,01/04/2018,23:03:40
(842) 917-8733,Data,01/04/2018,18:17:06
(341) 309-1679,Voice,01/04/2018,4:48:45
(568) 722-4695,SMS,01/04/2018,21:33:33
(689) 945-3127,Data,01/04/2018,13:00:22
(453) 709-1148,Voice,01/04/2018,11:11:43
(342) 641-6002,SMS,01/04/2018,5:02:57
(873) 527-9343,Data,01/04/2018,4:30:35
(507) 374-7325,Voice,01/04/2018,0:50:16
(959) 317-8114,SMS,01/04/2018,7:52:18
(433) 815-9234,Data,01/04/2018,7:58:52
(765) 711-7911,Voice,01/04/2018,12:10:43
(913) 658-5178,SMS,01/04/2018,5:07:14
(638) 870-8472,Data,01/04/2018,7:19:19
(219) 578-1122,Voice,01/04/2018,3:57:45
(680) 684-3859,SMS,01/04/2018,7:41:34
(805) 308-1239,Data,01/04/2018,1:50:03
(575) 569-6851,Voice,01/04/2018,6:12:27
(570) 210-2499,SMS,01/04/2018,4:04:51
(330) 571-2428,Data,01/04/2018,21:49:26
(345) 474-8939,Voice,01/04/2018,18:04:45
(537) 714-8370,SMS,01/04/2018,9:16:22
(456) 515-6313,Data,01/04/2018,20:09:01
(417) 957-4046,Voice,01/04/2018,7:09:23
(476) 497-4383,SMS,01/04/2018,16:27:52
(688) 678-7447,Data,01/04/2018,14:57:17
(842) 917-8734,Voice,01/04/2018,16:59:07
(905) 411-7989,SMS,01/04/2018,16:48:03
(930) 297-7029,Data,01/04/2018,11:14:39
(356) 690-1763,Voice,01/04/2018,4:56:36
(848) 880-4370,SMS,01/04/2018,8:52:36
(376) 323-7608,Data,01/04/2018,7:08:49
(968) 441-2624,Voice,01/04/2018,23:47:14
(531) 846-8650,SMS,01/04/2018,8:18:33
(678) 683-9113,Data,01/04/2018,21:53:16
(568) 441-6610,Voice,01/04/2018,1:39:14
(282) 907-4701,SMS,01/04/2018,22:53:15
(842) 917-8734,Data,01/04/2018,1:48:55
(341) 309-1680,Voice,01/04/2018,6:11:40
(568) 722-4696,SMS,01/04/2018,23:39:47
(689) 945-3128,Data,01/04/2018,16:27:41
(453) 709-1149,Voice,01/04/2018,17:08:04
(342) 641-6003,SMS,01/04/2018,11:34:19
(873) 527-9344,Data,01/04/2018,22:00:50
(507) 374-7326,Voice,01/04/2018,5:24:26
(959) 317-8115,SMS,01/04/2018,7:43:57
(433) 815-9235,Data,01/04/2018,18:53:59
(765) 711-7912,Voice,01/04/2018,5:37:26
(913) 658-5179,SMS,01/04/2018,21:49:53
(638) 870-8473,Data,01/04/2018,12:41:51
(219) 578-1123,Voice,01/04/2018,11:09:14
(680) 684-3860,SMS,01/04/2018,20:32:26
(805) 308-1240,Data,01/04/2018,16:58:54
(575) 569-6852,Voice,01/04/2018,20:53:33
(570) 210-2500,SMS,01/04/2018,11:32:45
(330) 571-2429,Data,01/04/2018,19:33:33
(345) 474-8940,Voice,01/04/2018,6:03:50
(537) 714-8371,SMS,01/04/2018,18:32:34
(456) 515-6314,Data,01/04/2018,7:44:07
(417) 957-4047,Voice,01/04/2018,1:41:32
(476) 497-4384,SMS,01/04/2018,17:52:59
(688) 678-7448,Data,01/04/2018,11:54:22
(842) 917-8735,Voice,01/04/2018,8:26:14
(905) 411-7990,SMS,01/04/2018,11:13:56
(930) 297-7030,Data,01/04/2018,20:50:46
(356) 690-1764,Voice,01/04/2018,20:49:29
(848) 880-4371,SMS,01/04/2018,9:18:23
(376) 323-7609,Data,01/04/2018,19:37:24
(968) 441-2625,Voice,01/04/2018,20:13:22
(531) 846-8651,SMS,01/04/2018,9:56:17
(678) 683-9114,Data,01/04/2018,19:18:24
(568) 441-6611,Voice,01/04/2018,0:07:44
(282) 907-4702,SMS,01/04/2018,22:35:18
(842) 917-8735,Data,01/04/2018,19:20:18
(341) 309-1681,Voice,01/04/2018,11:11:04
(568) 722-4697,SMS,01/04/2018,10:41:13
(689) 945-3129,Data,01/04/2018,7:15:00
(453) 709-1150,Voice,01/04/2018,15:00:48
(342) 641-6004,SMS,01/04/2018,19:52:58
(873) 527-9345,Data,01/04/2018,2:02:16
(507) 374-7327,Voice,01/04/2018,16:37:06
(959) 317-8116,SMS,01/04/2018,13:04:47
(433) 815-9236,Data,01/04/2018,3:44:02
(765) 711-7913,Voice,01/04/2018,7:27:48
(913) 658-5180,SMS,01/04/2018,19:47:13
(638) 870-8474,Data,01/04/2018,12:10:22
(219) 578-1124,Voice,01/04/2018,18:44:16
(680) 684-3861,SMS,01/04/2018,23:44:03
(805) 308-1241,Data,01/04/2018,11:28:49
(575) 569-6853,Voice,01/04/2018,20:01:04
(570) 210-2501,SMS,01/04/2018,3:56:34
(330) 571-2430,Data,01/04/2018,10:12:49
(345) 474-8941,Voice,01/04/2018,6:49:31
(537) 714-8372,SMS,01/04/2018,18:07:29
(456) 515-6315,Data,01/04/2018,12:32:53
(417) 957-4048,Voice,01/04/2018,0:52:14
(476) 497-4385,SMS,01/04/2018,13:46:18
(688) 678-7449,Data,01/04/2018,15:26:03
(842) 917-8736,Voice,01/04/2018,22:31:23
(905) 411-7991,SMS,01/04/2018,9:18:26
(930) 297-7031,Data,01/04/2018,3:17:12
(356) 690-1765,Voice,01/04/2018,0:31:21
(848) 880-4372,SMS,01/04/2018,9:45:53
(376) 323-7610,Data,01/04/2018,3:27:43
(968) 441-2626,Voice,01/04/2018,2:24:42
(531) 846-8652,SMS,01/04/2018,12:16:33
(678) 683-9115,Data,01/04/2018,3:23:31
(568) 441-6612,Voice,01/04/2018,16:31:21
(282) 907-4703,SMS,01/04/2018,23:46:04
(842) 917-8736,Data,01/04/2018,19:31:43
(341) 309-1682,Voice,01/04/2018,5:09:34
(568) 722-4698,SMS,01/04/2018,23:51:58
(689) 945-3130,Data,01/04/2018,3:37:06
(453) 709-1151,Voice,01/04/2018,12:16:56
(342) 641-6005,SMS,01/04/2018,21:49:12
(873) 527-9346,Data,01/04/2018,3:28:49
(507) 374-7328,Voice,01/04/2018,1:42:24
(959) 317-8117,SMS,01/04/2018,8:45:02
(433) 815-9237,Data,01/04/2018,6:34:10
(765) 711-7914,Voice,01/04/2018,16:38:47
(913) 658-5181,SMS,01/04/2018,15:05:01
(638) 870-8475,Data,01/04/2018,23:58:45
(219) 578-1125,Voice,01/04/2018,12:49:37
(680) 684-3862,SMS,01/04/2018,7:47:40
(805) 308-1242,Data,01/04/2018,5:52:42
(575) 569-6854,Voice,01/04/2018,15:58:29
(570) 210-2502,SMS,01/04/2018,5:06:39
(330) 571-2431,Data,01/04/2018,13:12:52
(345) 474-8942,Voice,01/04/2018,11:48:40
(537) 714-8373,SMS,01/04/2018,20:32:40
(456) 515-6316,Data,01/04/2018,19:49:21
(417) 957-4049,Voice,01/04/2018,17:15:53
(476) 497-4386,SMS,01/04/2018,6:49:55
(688) 678-7450,Data,01/04/2018,8:36:42
(842) 917-8737,Voice,01/04/2018,20:38:14
(905) 411-7992,SMS,01/04/2018,6:13:47
(930) 297-7032,Data,01/04/2018,16:13:37
(356) 690-1766,Voice,01/04/2018,7:46:42
(848) 880-4373,SMS,01/04/2018,15:57:23
(376) 323-7611,Data,01/04/2018,10:47:40
(968) 441-2627,Voice,01/04/2018,11:54:55
(531) 846-8653,SMS,01/04/2018,6:34:48
(678) 683-9116,Data,01/04/2018,3:53:15
(568) 441-6613,Voice,01/04/2018,14:22:05
(282) 907-4704,SMS,01/04/2018,3:29:11
(842) 917-8737,Data,01/04/2018,0:58:22
(341) 309-1683,Voice,01/04/2018,2:29:19
(568) 722-4699,SMS,01/04/2018,2:09:48
(689) 945-3131,Data,01/04/2018,12:55:30
(453) 709-1152,Voice,01/04/2018,1:37:05
